first_name,last_name,phone1,email
James,Butt,504-621-8927,jbutt@myemail.com
Joanne,Darakjy,810-292-9388,josephine_darakjy@myemail.org
Art,Venere,856-636-8749,art@myemail.org
Lenna,Papro,907-385-4412,lpaprocki@myemail.com
Donette,Foller,513-570-1893,donette.foller@myemail.net
Simona,Morasca,419-503-2484,simona@myemail.com
Mitsue,Tollner,773-573-6914,mitsue_tollner@myemail.com
Leota,Dill,408-752-3500,leota@myemail.com
Sage,Wieser,605-414-2147,sage_wieser@myemail.net
Tony,Stark,555-444-2157,tony_stark@myemail.net
